player_id,player_name,country,position,team_id,shirt_number
morocco_samir_el_mourabet,Samir El Mourabet,Morocco,Midfielder,morocco,15
morocco_youssef_belammari,Youssef Belammari,Morocco,Defender,morocco,19
morocco_ayoube_amaimouni,Ayoube Amaimouni,Morocco,Forward,morocco,21
morocco_redouane_halhal,Redouane Halhal,Morocco,Defender,morocco,25
scotland_tyler_fletcher,Tyler Fletcher,Scotland,Midfielder,scotland,8
scotland_findlay_curtis,Findlay Curtis,Scotland,Forward,scotland,25
haiti_keeto_thermoncy,Keeto Thermoncy,Haiti,Defender,haiti,3
haiti_carl_sainte,Carl Sainté,Haiti,Midfielder,haiti,6
haiti_martin_experience,Martin Expérience,Haiti,Defender,haiti,8
haiti_duke_lacroix,Duke Lacroix,Haiti,Defender,haiti,13
haiti_leverton_pierre,Leverton Pierre,Haiti,Midfielder,haiti,14
haiti_wilson_isidor,Wilson Isidor,Haiti,Forward,haiti,18
haiti_yassin_fortune,Yassin Fortuné,Haiti,Forward,haiti,19
haiti_frantzdy_pierrot,Frantzdy Pierrot,Haiti,Forward,haiti,20
haiti_josue_duverger,Josué Duverger,Haiti,Goalkeeper,haiti,23
haiti_wilguens_paugain,Wilguens Paugain,Haiti,Defender,haiti,24
haiti_dominique_simon,Dominique Simon,Haiti,Midfielder,haiti,25
haiti_woodensky_pierre,Woodensky Pierre,Haiti,Midfielder,haiti,26
united_states_alex_freeman,Alex Freeman,United States,Defender,united_states,16
paraguay_gatito_fernandez,Gatito Fernández,Paraguay,Goalkeeper,paraguay,1
paraguay_fabian_balbuena,Fabián Balbuena,Paraguay,Defender,paraguay,5
paraguay_orlando_gill,Orlando Gill,Paraguay,Goalkeeper,paraguay,12
paraguay_gustavo_gomez,Gustavo Gómez,Paraguay,Defender,paraguay,15
paraguay_damian_bobadilla,Damián Bobadilla,Paraguay,Midfielder,paraguay,16
paraguay_isidro_pitta,Isidro Pitta,Paraguay,Forward,paraguay,25
paraguay_alexandro_maidana,Alexandro Maidana,Paraguay,Defender,paraguay,26
australia_milos_degenek,Miloš Degenek,Australia,Defender,australia,2
australia_jacob_italiano,Jacob Italiano,Australia,Defender,australia,4
australia_cammy_devlin,Cammy Devlin,Australia,Midfielder,australia,14
australia_paul_okon_engstler,Paul Okon-Engstler,Australia,Midfielder,australia,24
australia_lucas_herrington,Lucas Herrington,Australia,Defender,australia,25
turkiye_samet_akaydin,Samet Akaydin,Türkiye,Defender,turkiye,25
germany_lennart_karl,Lennart Karl,Germany,Midfielder,germany,25
ecuador_felix_torres,Félix Torres,Ecuador,Defender,ecuador,2
ecuador_enner_valencia,Enner Valencia,Ecuador,Forward,ecuador,13
ecuador_jordy_caicedo,Jordy Caicedo,Ecuador,Forward,ecuador,16
ecuador_denil_castillo,Denil Castillo,Ecuador,Midfielder,ecuador,18
ecuador_gonzalo_plata,Gonzalo Plata,Ecuador,Forward,ecuador,19
ecuador_alan_franco,Alan Franco,Ecuador,Midfielder,ecuador,21
ivory_coast_yan_diomande,Yan Diomande,Ivory Coast,Forward,ivory_coast,11
ivory_coast_christ_inao_oulai,Christ Inao Oulaï,Ivory Coast,Midfielder,ivory_coast,26
curacao_roshon_van_eijma,Roshon van Eijma,Curaçao,Defender,curacao,4
curacao_livano_comenencia,Livano Comenencia,Curaçao,Midfielder,curacao,8
curacao_leandro_bacuna,Leandro Bacuna,Curaçao,Midfielder,curacao,10
curacao_tyrese_noslin,Tyrese Noslin,Curaçao,Forward,curacao,13
curacao_kenji_gorre,Kenji Gorré,Curaçao,Forward,curacao,14
curacao_jearl_margaritha,Jearl Margaritha,Curaçao,Forward,curacao,16
curacao_brandley_kuwas,Brandley Kuwas,Curaçao,Forward,curacao,17
curacao_gervane_kastaneer,Gervane Kastaneer,Curaçao,Forward,curacao,19
curacao_joshua_brenet,Joshua Brenet,Curaçao,Defender,curacao,20
curacao_deveron_fonville,Deveron Fonville,Curaçao,Defender,curacao,24
curacao_tyrick_bodak,Tyrick Bodak,Curaçao,Goalkeeper,curacao,25
curacao_trevor_doornbusch,Trevor Doornbusch,Curaçao,Goalkeeper,curacao,26
japan_shogo_taniguchi,Shōgo Taniguchi,Japan,Defender,japan,3
japan_yuto_nagatomo,Yūto Nagatomo,Japan,Defender,japan,5
japan_keisuke_goto,Keisuke Gotō,Japan,Forward,japan,9
japan_keisuke_osako,Keisuke Ōsako,Japan,Goalkeeper,japan,12
japan_tomoki_hayakawa,Tomoki Hayakawa,Japan,Goalkeeper,japan,23
japan_kaishu_sano,Kaishū Sano,Japan,Midfielder,japan,24
japan_junnosuke_suzuki,Junnosuke Suzuki,Japan,Defender,japan,25
japan_kento_shiogai,Kento Shiogai,Japan,Forward,japan,26
tunisia_mouhib_chamakh,Mouhib Chamakh,Tunisia,Goalkeeper,tunisia,1
tunisia_adem_arous,Adem Arous,Tunisia,Defender,tunisia,5
tunisia_hazem_mastouri,Hazem Mastouri,Tunisia,Forward,tunisia,9
tunisia_khalil_ayari,Khalil Ayari,Tunisia,Midfielder,tunisia,14
tunisia_hadj_mahmoud,Hadj Mahmoud,Tunisia,Midfielder,tunisia,15
tunisia_rayan_elloumi,Rayan Elloumi,Tunisia,Forward,tunisia,18
tunisia_firas_chaouat,Firas Chaouat,Tunisia,Forward,tunisia,19
tunisia_mohamed_amine_ben_hamida,Mohamed Amine Ben Hamida,Tunisia,Defender,tunisia,21
tunisia_sabri_ben_hessen,Sabri Ben Hessen,Tunisia,Goalkeeper,tunisia,22
tunisia_raed_chikhaoui,Raed Chikhaoui,Tunisia,Defender,tunisia,24
sweden_lucas_bergvall,Lucas Bergvall,Sweden,Midfielder,sweden,7
belgium_joaquin_seys,Joaquin Seys,Belgium,Defender,belgium,18
iran_alireza_beiranvand,Alireza Beiranvand,Iran,Goalkeeper,iran,1
iran_saleh_hardani,Saleh Hardani,Iran,Defender,iran,2
iran_shojae_khalilzadeh,Shojae Khalilzadeh,Iran,Defender,iran,4
iran_saeid_ezatolahi,Saeid Ezatolahi,Iran,Midfielder,iran,6
iran_mohammad_mohebi,Mohammad Mohebi,Iran,Midfielder,iran,8
iran_mehdi_ghayedi,Mehdi Ghayedi,Iran,Forward,iran,10
iran_payam_niazmand,Payam Niazmand,Iran,Goalkeeper,iran,12
iran_hossein_kanaanizadegan,Hossein Kanaanizadegan,Iran,Defender,iran,13
iran_rouzbeh_cheshmi,Rouzbeh Cheshmi,Iran,Midfielder,iran,15
iran_mehdi_torabi,Mehdi Torabi,Iran,Midfielder,iran,16
iran_aria_yousefi,Aria Yousefi,Iran,Defender,iran,17
iran_amirhossein_hosseinzadeh,Amirhossein Hosseinzadeh,Iran,Forward,iran,18
iran_ali_nemati,Ali Nemati,Iran,Defender,iran,19
iran_shahriyar_moghanlou,Shahriyar Moghanlou,Iran,Forward,iran,20
iran_mohammad_ghorbani,Mohammad Ghorbani,Iran,Midfielder,iran,21
iran_hossein_hosseini,Hossein Hosseini,Iran,Goalkeeper,iran,22
iran_ramin_rezaeian,Ramin Rezaeian,Iran,Defender,iran,23
iran_danial_eiri,Danial Eiri,Iran,Defender,iran,25
